timestamp,target,endpoint,agent,operator,caller,hypothesis,payload,observation,new_info,status,evidence_ref
04:58,http://127.0.0.1:5000,/search?q=,Injection,팀원3,orchestrator,Baseline behavior of /search with a normal query term before probing for injection,q=report,"200 OK, 2 results returned (Q1 report, Q2 report) - normal substring filter behavior",yes,unconfirmed,-
04:58,http://127.0.0.1:5000,/search?q=,Injection,팀원3,orchestrator,A single unbalanced quote in q will break the underlying query construction and surface a SQL-flavored syntax error if /search is vulnerable to injection,q=',"500 Internal Server Error, JSON body {""error"": ""SQL syntax error near '''""} - confirms unsanitized quote is passed into query-building logic",yes,unconfirmed,-
04:58,http://127.0.0.1:5000,/search?q=,Injection,팀원3,orchestrator,"A classic boolean OR-tautology payload with a trailing comment marker will bypass the quote-balance error and cause the endpoint to recover by returning all records, including ones not matching the literal search term",q=' OR '1'='1' --,"200 OK, 3 results returned (previously 2 for baseline) - now includes id 3 'salary.csv' owner=admin note='confidential', which does not match 'report' substring - confirms classic error-based/comment-bypass SQLi recovery pattern exposing unauthorized data",yes,unconfirmed,-
04:58,http://127.0.0.1:5000,/search?q=,Injection,팀원3,orchestrator,"Reproduction check: the baseline(2 results)->attack(500 SQL error)->control(3 results incl. confidential record via OR-tautology+comment bypass) triple observed in this same pass is a clean, internally consistent SQLi confirmation for /search",sequence: q=report ; q=' ; q=' OR '1'='1' --,Triple reproduced cleanly in one pass: baseline 200/2 results -> attack 500 with SQL syntax error message -> control 200/3 results including confidential salary.csv record not matching search term. Confirms SQL-injection-style vulnerability in /search,no,confirmed,-
04:58,http://127.0.0.1:5000,/lookup?q=,Injection,팀원3,orchestrator,"Baseline behavior of /lookup (negative control) with a normal query term, to compare against /search before probing for injection",q=report,"200 OK, 2 results returned (Q1 report, Q2 report) - identical shape to /search baseline",yes,unconfirmed,-
04:58,http://127.0.0.1:5000,/lookup?q=,Injection,팀원3,orchestrator,"The same single-quote payload that broke /search should NOT trigger a SQL-flavored error on /lookup, since /lookup is the negative control and does no query-string building from q",q=',"200 OK, {""results"": []} - no error, no SQL-flavored message, just an empty match list (quote does not match any title substring). Confirms /lookup is NOT vulnerable to the same injection vector as /search",yes,unconfirmed,-
16:08,http://43.200.51.235:8081,/,Injection,팀원3,manual,루트 페이지에 SQLi/CmdI/SSTI로 이어질 query/body 파라미터가 있는지,"GET / (파라미터 없음, path fuzzing: /search /lookup /file /ping /convert 등 20여개)","루트는 정적 랜딩 페이지(ETag/Last-Modified/Accept-Ranges, 폼 없음). 후보 엔드포인트 전수 스캔 결과 전부 404 — injection 대상이 될 query/body 파라미터를 찾지 못함",yes,dead-end,-
16:08,http://43.200.51.235:8081,/grafana/,Injection,팀원3,manual,robots.txt가 힌트한 /grafana/ 프록시가 injection-agent 스코프(SQLi/CmdI/SSTI) 내 파라미터를 노출하는지,"GET /grafana/api/health, /grafana/api/datasources, /grafana/api/dashboards/home",Grafana 11.2.0 확인됨 (버전 취약점 존재 가능성 있으나 CVE 영역). API는 인증 없이는 401 — SQLi/CmdI/SSTI 테스트 가능한 미인증 파라미터 없음. CVE·Auth 담당에게 handoff 필요,yes,dead-end,-
16:08,ftp://43.200.51.235:21,/,Injection,팀원3,manual,FTP anonymous 로그인 가능 여부 (injection 표면 확장 목적),USER anonymous / PASS anonymous@test.com,"배너 '220 CJ internal file transfer', anonymous 로그인 거부(로그인 실패) — 접근 불가, IDOR/Auth 담당 영역",yes,dead-end,-
16:19,http://43.200.51.235:8081,"/grafana/metrics, /grafana/swagger-ui, /grafana/public/emails",Injection,팀원3,manual,미인증 상태로 접근 가능한 추가 엔드포인트 중 injection 테스트 가능한 query/body 파라미터가 있는지 (70여개 경로 fuzzing),"GET /grafana/metrics, /grafana/swagger-ui, /grafana/public/emails 등 (.env, backup.zip, actuator, swagger.json 등 70여개 경로 시도)","/grafana/metrics는 200으로 Prometheus 메트릭 노출(정보노출, 파라미터 없음-injection 대상 아님). /grafana/swagger-ui 301, /grafana/public/emails 302(둘 다 로그인으로 리다이렉트 추정). 그 외 전부 401/404 - SQLi/CmdI/SSTI 테스트 가능한 미인증 파라미터 여전히 없음",yes,dead-end,-
